srg,cnf
net/minecraft/src/MusInputStream,net/minecraft/src/MusInputStream
net/minecraft/src/NBTBase,net/minecraft/src/NBTBase
net/minecraft/src/NBTTagByte,net/minecraft/src/NBTTagByte
net/minecraft/src/NBTTagByteArray,net/minecraft/src/NBTTagByteArray
net/minecraft/src/NBTTagCompound,net/minecraft/src/NBTTagCompound
net/minecraft/src/NBTTagDouble,net/minecraft/src/NBTTagDouble
net/minecraft/src/NBTTagEnd,net/minecraft/src/NBTTagEnd
net/minecraft/src/NBTTagFloat,net/minecraft/src/NBTTagFloat
net/minecraft/src/NBTTagInt,net/minecraft/src/NBTTagInt
net/minecraft/src/NBTTagList,net/minecraft/src/NBTTagList
net/minecraft/src/NBTTagLong,net/minecraft/src/NBTTagLong
net/minecraft/src/NBTTagShort,net/minecraft/src/NBTTagShort
net/minecraft/src/NBTTagString,net/minecraft/src/NBTTagString
net/minecraft/src/NetClientHandler,net/minecraft/src/NetClientHandler
net/minecraft/src/NetHandler,net/minecraft/src/NetHandler
net/minecraft/src/NetworkManager,net/minecraft/src/NetworkManager
net/minecraft/src/NetworkMasterThread,net/minecraft/src/NetworkMasterThread
net/minecraft/src/NetworkReaderThread,net/minecraft/src/NetworkReaderThread
net/minecraft/src/NetworkWriterThread,net/minecraft/src/NetworkWriterThread
net/minecraft/src/NextTickListEntry,net/minecraft/src/NextTickListEntry
net/minecraft/src/NibbleArray,net/minecraft/src/NibbleArray
net/minecraft/src/NoiseGenerator,net/minecraft/src/NoiseGenerator
net/minecraft/src/NoiseGenerator2,net/minecraft/src/NoiseGenerator2
net/minecraft/src/NoiseGeneratorOctaves,net/minecraft/src/NoiseGeneratorOctaves
net/minecraft/src/NoiseGeneratorOctaves2,net/minecraft/src/NoiseGeneratorOctaves2
net/minecraft/src/NoiseGeneratorPerlin,net/minecraft/src/NoiseGeneratorPerlin
net/minecraft/src/OpenGlCapsChecker,net/minecraft/src/OpenGlCapsChecker
net/minecraft/src/OsMap,net/minecraft/src/OsMap
net/minecraft/src/Packet,net/minecraft/src/Packet
net/minecraft/src/Packet0KeepAlive,net/minecraft/src/Packet0KeepAlive
net/minecraft/src/Packet10Flying,net/minecraft/src/Packet10Flying
net/minecraft/src/Packet11PlayerPosition,net/minecraft/src/Packet11PlayerPosition
net/minecraft/src/Packet12PlayerLook,net/minecraft/src/Packet12PlayerLook
net/minecraft/src/Packet13PlayerLookMove,net/minecraft/src/Packet13PlayerLookMove
net/minecraft/src/Packet14BlockDig,net/minecraft/src/Packet14BlockDig
net/minecraft/src/Packet15Place,net/minecraft/src/Packet15Place
net/minecraft/src/Packet16BlockItemSwitch,net/minecraft/src/Packet16BlockItemSwitch
net/minecraft/src/Packet17AddToInventory,net/minecraft/src/Packet17AddToInventory
net/minecraft/src/Packet18ArmAnimation,net/minecraft/src/Packet18ArmAnimation
net/minecraft/src/Packet1Login,net/minecraft/src/Packet1Login
net/minecraft/src/Packet20NamedEntitySpawn,net/minecraft/src/Packet20NamedEntitySpawn
net/minecraft/src/Packet21PickupSpawn,net/minecraft/src/Packet21PickupSpawn
net/minecraft/src/Packet22Collect,net/minecraft/src/Packet22Collect
net/minecraft/src/Packet23VehicleSpawn,net/minecraft/src/Packet23VehicleSpawn
net/minecraft/src/Packet24MobSpawn,net/minecraft/src/Packet24MobSpawn
net/minecraft/src/Packet255KickDisconnect,net/minecraft/src/Packet255KickDisconnect
net/minecraft/src/Packet28EntityVelocity,net/minecraft/src/Packet28EntityVelocity
net/minecraft/src/Packet29DestroyEntity,net/minecraft/src/Packet29DestroyEntity
net/minecraft/src/Packet2Handshake,net/minecraft/src/Packet2Handshake
net/minecraft/src/Packet30Entity,net/minecraft/src/Packet30Entity
net/minecraft/src/Packet31RelEntityMove,net/minecraft/src/Packet31RelEntityMove
net/minecraft/src/Packet32EntityLook,net/minecraft/src/Packet32EntityLook
