srg,mcp
func_318_h,setStateIfMobInteractsWithPlate
func_319_i,sparkle
func_320_h,glow
func_321_a,addIdClassMapping
func_322_a,writePacketData
func_323_a,processPacket
func_324_b,readPacket
func_325_a,getNewPacket
func_326_b,getPacketId
func_327_a,readPacketData
func_328_a,writePacket
func_329_a,getPacketSize
func_330_b,cleanup
func_331_a,playStreaming
func_335_a,onSoundOptionsChanged
func_336_b,playSound
func_337_a,playSoundFX
func_338_a,setListener
func_339_d,tryToSetLibraryAndCodecs
func_340_a,loadSoundSettings
func_342_a,isBoundingBoxInFrustum
func_343_a,setPosition
func_344_a,isBoxInFrustum
func_345_I,isEntityInsideOpaqueBlock
func_346_d,setAngles
func_347_a,setPosition
func_348_f,addVelocity
func_349_c,moveEntity
func_350_p,updateRidden
func_351_a,moveFlying
func_352_a,writeEntityToNBT
func_353_a,interact
func_354_B,isEntityAlive
func_355_a,dealFireDamage
func_357_b,readEntityFromNBT
func_358_c,writeToNBTOptional
func_359_G,handleLavaMovement
func_360_d,getDistanceSq
func_361_e,getDistance
func_363_d,writeToNBT
func_364_b,addToPlayerScore
func_365_c,setLocationAndAngles
func_366_i_,updateRiderPosition
func_367_b,dropItem
func_368_e,readFromNBT
func_370_e_,onUpdate
func_371_a,setSize
func_372_f_,getBoundingBox
func_373_s,getEyeHeight
func_374_q,preparePlayerToSpawn
func_375_a,newDoubleNBTList
func_376_c,setRotation
func_377_a,newFloatNBTList
func_378_a,setPositionAndRotation2
func_379_d,getDistanceToEntity
func_380_f,applyEntityCollision
func_381_o,isSneaking
func_382_a,getBrightness
func_383_b_,getCollisionBox
func_384_a,isInRangeToRenderDist
func_385_d_,canBePushed
func_387_e,getDistanceSqToEntity
func_388_v,getYOffset
func_389_H,getEntityString
func_390_a,isInRangeToRenderVec3D
func_391_y,onEntityUpdate
func_392_h_,getShadowSize
func_393_a,isInsideOfMaterial
func_394_a,dropItemWithOffset
func_395_F,setDead
func_396_a,attackEntityFrom
func_397_g_,handleWaterMovement
func_398_a,setWorld
func_399_b,setPositionAndRotation
func_400_c,fall
func_4007_a,displayUnexpectedThrowable
func_4009_a,setRenderManager
func_401_c_,canBeCollidedWith
func_4011_a,doRenderFishHook
func_4012_a,doRenderFireball
func_4013_a,setRenderPassModel
func_4014_a,preRenderGhast
func_4015_a,renderSpecials
func_4016_e,setFull3D
func_4017_a,isFull3D
func_4018_a,canHarvestBlock
func_4019_b,useItemOnEntity
