srg,cnf
p_00325_0,
p_00325_1,
p_00326_0,
p_00327_0,
p_00327_1,
p_00328_0,
p_00328_1,
p_00328_2,
p_00329_0,
p_00329_1,
p_00330_0,
p_00330_1,
p_00330_2,
p_00331_0,
p_00331_1,
p_00331_2,
p_00331_3,
p_00332_0,
p_00334_0,
p_00334_1,
p_00336_0,
p_00337_0,
p_00337_1,
p_00339_0,
p_00340_0,
p_00340_1,
p_00340_2,
p_00341_0,
p_00341_1,
p_00341_2,
p_00341_3,
p_00341_4,
p_00341_5,
p_00342_0,
p_00342_1,
p_00343_0,
p_00343_1,
p_00344_0,
p_00344_1,
p_00345_0,
p_00345_1,
p_00345_2,
p_00345_3,
p_00345_4,
p_00346_0,
p_00346_1,
p_00346_2,
p_00346_3,
p_00347_0,
p_00347_1,
p_00347_2,
p_00347_3,
p_00348_0,
p_00348_1,
p_00348_2,
p_00348_3,
p_00349_0,
p_00349_1,
p_00349_2,
p_00349_3,
p_00350_0,
p_00350_1,
p_00350_2,
p_00350_3,
p_00350_4,
p_00351_0,
p_00351_1,
p_00351_2,
p_00352_0,
p_00352_1,
p_00352_2,
p_00352_3,
p_00353_0,
p_00353_1,
p_00353_2,
p_00353_3,
p_00354_0,
p_00354_1,
p_00354_2,
p_00354_3,
p_00354_4,
p_00354_5,
p_00355_0,
p_00355_1,
p_00355_2,
p_00355_3,
p_00356_0,
p_00356_1,
p_00356_2,
p_00356_3,
p_00357_0,
p_00357_1,
p_00357_2,
p_00358_0,
p_00358_1,
p_00358_2,
p_00359_0,
p_00359_1,
p_00359_2,
p_00359_3,
p_00360_0,
p_00360_1,
p_00360_2,
p_00361_0,
p_00361_1,
p_00362_0,
p_00362_1,
p_00362_2,
p_00362_3,
p_00362_4,
p_00363_0,
p_00363_1,
p_00363_2,
p_00363_3,
p_00364_0,
p_00364_1,
p_00364_2,
p_00364_3,
p_00364_4,
p_00366_0,
p_00366_1,
p_00367_0,
p_00367_1,
p_00367_2,
p_00368_0,
p_00368_1,
p_00368_2,
p_00368_3,
p_00369_0,
p_00369_1,
p_00369_2,
p_00369_3,
p_00369_4,
p_00369_5,
p_00370_0,
p_00370_1,
p_00370_2,
p_00370_3,
p_00371_0,
p_00371_1,
p_00371_2,
p_00371_3,
p_00371_4,
p_00371_5,
p_00371_6,
p_00372_0,
p_00373_0,
p_00374_0,
p_00375_0,
p_00376_0,
p_00377_0,
p_00378_0,
p_00378_1,
p_00379_0,
p_00380_0,
p_00380_1,
p_00381_0,
p_00382_0,
p_00383_0,
p_00384_0,
p_00384_1,
p_00385_0,
p_00385_1,
p_00386_0,
p_00387_0,
p_00387_1,
p_00387_2,
p_00387_3,
p_00389_0,
p_00390_0,
p_00390_1,
p_00391_0,
p_00392_0,
p_00393_0,
p_00394_0,
p_00394_1,
p_00394_2,
p_00395_0,
p_00395_1,
p_00396_0,
p_00396_1,
p_00397_0,
p_00397_1,
p_00397_2,
p_00397_3,
p_00397_4,
p_00398_0,
p_00398_1,
p_00398_2,
p_00398_3,
p_00398_4,
p_00398_5,
p_00399_0,
p_00399_1,
p_00400_0,
p_00400_1,
p_00400_2,
p_00400_3,
p_00401_0,
p_00403_0,
p_00403_1,
p_00403_2,
p_00403_3,
p_00404_0,
p_00404_1,
p_00404_2,
p_00405_0,
p_00407_0,
